   Log   |             Time stamp            |     Time since     |    Total time    | 
  level  |                                   |    previous log    |    since boot    | 
---------------------------------------------------------------------------------------
 Debug   | 2017-02-20T14:56:15.8739769+07:00 |                    | 00:00:05.5180493 | [GetResourceAsync] - for Resource '107/1'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:15.8739769+07:00 | 0:00:00:00.0000000 | 00:00:05.5180493 | Start dispatched load of Manifest-file.
 Debug   | 2017-02-20T14:56:15.8739769+07:00 | 0:00:00:00.0000000 | 00:00:05.5180493 | Detected first loading of Manifest-file.
 Debug   | 2017-02-20T14:56:15.8739769+07:00 | 0:00:00:00.0000000 | 00:00:05.5180493 | Start loading of Manifest-file.
 Debug   | 2017-02-20T14:56:17.4967109+07:00 | 0:00:00:01.6227340 | 00:00:07.1407833 | Manifest-file was loaded.
 Debug   | 2017-02-20T14:56:17.4972181+07:00 | 0:00:00:00.0005072 | 00:00:07.1412905 | [GetResourceAsync] - for Resource '107/1'; Try get Manifest-file Finished 00:00:01.6239408;
 Debug   | 2017-02-20T14:56:17.5032437+07:00 | 0:00:00:00.0060256 | 00:00:07.1473161 | [GetResourceAsync] - for Resource '107/1'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:17.5934520+07:00 | 0:00:00:00.0902083 | 00:00:07.2375244 | [GetResourceAsync] - for Resource '107/1'; Try download Resource Finished 00:00:00.0899405;
 Debug   | 2017-02-20T14:56:17.7198307+07:00 | 0:00:00:00.1263787 | 00:00:07.3639031 | [GetResourceAsync] - for Resource '107/1'; Getting took 0:00:00:01.8465380;
 Debug   | 2017-02-20T14:56:17.9460454+07:00 | 0:00:00:00.2262147 | 00:00:07.5901178 | [GetMetadataAsync] - for Resource '110'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:17.9460454+07:00 | 0:00:00:00.0000000 | 00:00:07.5901178 | [GetMetadataAsync] - for Resource '110'; Try get Manifest-file Finished 00:00:00.0000923;
 Debug   | 2017-02-20T14:56:17.9465457+07:00 | 0:00:00:00.0005003 | 00:00:07.5906181 | [GetMetadataAsync] - for Resource '110'; Getting took 0:00:00:00.0001505;
 Debug   | 2017-02-20T14:56:18.1141066+07:00 | 0:00:00:00.1675609 | 00:00:07.7581790 | [GetResourceAsync] - for Resource '102/113'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:18.1141066+07:00 | 0:00:00:00.0000000 | 00:00:07.7581790 | [GetResourceAsync] - for Resource '102/113'; Try get Manifest-file Finished 00:00:00.0000893;
 Debug   | 2017-02-20T14:56:18.1156307+07:00 | 0:00:00:00.0015241 | 00:00:07.7597031 | [GetResourceAsync] - for Resource '102/114'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:18.1156307+07:00 | 0:00:00:00.0000000 | 00:00:07.7597031 | [GetResourceAsync] - for Resource '102/114'; Try get Manifest-file Finished 00:00:00.0000739;
 Debug   | 2017-02-20T14:56:18.1201061+07:00 | 0:00:00:00.0044754 | 00:00:07.7641785 | [GetResourceAsync] - for Resource '102/115'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:18.1201061+07:00 | 0:00:00:00.0000000 | 00:00:07.7641785 | [GetResourceAsync] - for Resource '102/115'; Try get Manifest-file Finished 00:00:00.0001218;
 Debug   | 2017-02-20T14:56:18.2960027+07:00 | 0:00:00:00.1758966 | 00:00:07.9400751 | [GetResourceAsync] - for Resource '102/114'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:18.2975324+07:00 | 0:00:00:00.0015297 | 00:00:07.9416048 | [GetResourceAsync] - for Resource '102/113'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:18.2985319+07:00 | 0:00:00:00.0009995 | 00:00:07.9426043 | [GetResourceAsync] - for Resource '102/115'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:19.1134138+07:00 | 0:00:00:00.8148819 | 00:00:08.7574862 | [GetResourceAsync] - for Resource '112/11201'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:19.1134138+07:00 | 0:00:00:00.0000000 | 00:00:08.7574862 | [GetResourceAsync] - for Resource '112/11201'; Try get Manifest-file Finished 00:00:00.0000808;
 Debug   | 2017-02-20T14:56:19.6752090+07:00 | 0:00:00:00.5617952 | 00:00:09.3192814 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:19.6756828+07:00 | 0:00:00:00.0004738 | 00:00:09.3197552 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0007111;
 Debug   | 2017-02-20T14:56:19.6812132+07:00 | 0:00:00:00.0055304 | 00:00:09.3252856 | [GetResourceAsync] - for Resource '105/101'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:20.5290641+07:00 | 0:00:00:00.8478509 | 00:00:10.1731365 | [GetResourceAsync] - for Resource '112/11201'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:20.5315668+07:00 | 0:00:00:00.0025027 | 00:00:10.1756392 | [GetResourceAsync] - for Resource '103/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:20.5315668+07:00 | 0:00:00:00.0000000 | 00:00:10.1756392 | [GetResourceAsync] - for Resource '103/101'; Try get Manifest-file Finished 00:00:00.0000778;
 Debug   | 2017-02-20T14:56:21.0234826+07:00 | 0:00:00:00.4919158 | 00:00:10.6675550 | [GetResourceAsync] - for Resource '105/101'; Try download Resource Finished 00:00:01.3417087;
 Debug   | 2017-02-20T14:56:21.2945175+07:00 | 0:00:00:00.2710349 | 00:00:10.9385899 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:01.6191417;
 Debug   | 2017-02-20T14:56:21.2945175+07:00 | 0:00:00:00.0000000 | 00:00:10.9385899 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.2945175+07:00 | 0:00:00:00.0000000 | 00:00:10.9385899 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000440;
 Debug   | 2017-02-20T14:56:21.2955456+07:00 | 0:00:00:00.0010281 | 00:00:10.9396180 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.2960459+07:00 | 0:00:00:00.0005003 | 00:00:10.9401183 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0011833;
 Debug   | 2017-02-20T14:56:21.2960459+07:00 | 0:00:00:00.0000000 | 00:00:10.9401183 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.2960459+07:00 | 0:00:00:00.0000000 | 00:00:10.9401183 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000303;
 Debug   | 2017-02-20T14:56:21.2965463+07:00 | 0:00:00:00.0005004 | 00:00:10.9406187 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.2965463+07:00 | 0:00:00:00.0000000 | 00:00:10.9406187 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0008732;
 Debug   | 2017-02-20T14:56:21.2965463+07:00 | 0:00:00:00.0000000 | 00:00:10.9406187 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.2970462+07:00 | 0:00:00:00.0004999 | 00:00:10.9411186 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000406;
 Debug   | 2017-02-20T14:56:21.2975474+07:00 | 0:00:00:00.0005012 | 00:00:10.9416198 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.2975474+07:00 | 0:00:00:00.0000000 | 00:00:10.9416198 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0008506;
 Debug   | 2017-02-20T14:56:21.2975474+07:00 | 0:00:00:00.0000000 | 00:00:10.9416198 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.2975474+07:00 | 0:00:00:00.0000000 | 00:00:10.9416198 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000265;
 Debug   | 2017-02-20T14:56:21.2985485+07:00 | 0:00:00:00.0010011 | 00:00:10.9426209 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.2985485+07:00 | 0:00:00:00.0000000 | 00:00:10.9426209 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0008151;
 Debug   | 2017-02-20T14:56:21.2985485+07:00 | 0:00:00:00.0000000 | 00:00:10.9426209 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.2985485+07:00 | 0:00:00:00.0000000 | 00:00:10.9426209 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000260;
 Debug   | 2017-02-20T14:56:21.2995493+07:00 | 0:00:00:00.0010008 | 00:00:10.9436217 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.2995493+07:00 | 0:00:00:00.0000000 | 00:00:10.9436217 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0008086;
 Debug   | 2017-02-20T14:56:21.2995493+07:00 | 0:00:00:00.0000000 | 00:00:10.9436217 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.2995493+07:00 | 0:00:00:00.0000000 | 00:00:10.9436217 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000265;
 Debug   | 2017-02-20T14:56:21.3000496+07:00 | 0:00:00:00.0005003 | 00:00:10.9441220 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.3000496+07:00 | 0:00:00:00.0000000 | 00:00:10.9441220 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0007988;
 Debug   | 2017-02-20T14:56:21.3000496+07:00 | 0:00:00:00.0000000 | 00:00:10.9441220 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.3000496+07:00 | 0:00:00:00.0000000 | 00:00:10.9441220 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000260;
 Debug   | 2017-02-20T14:56:21.3010499+07:00 | 0:00:00:00.0010003 | 00:00:10.9451223 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.3010499+07:00 | 0:00:00:00.0000000 | 00:00:10.9451223 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0008339;
 Debug   | 2017-02-20T14:56:21.3010499+07:00 | 0:00:00:00.0000000 | 00:00:10.9451223 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.3010499+07:00 | 0:00:00:00.0000000 | 00:00:10.9451223 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000256;
 Debug   | 2017-02-20T14:56:21.3020224+07:00 | 0:00:00:00.0009725 | 00:00:10.9460948 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.3020224+07:00 | 0:00:00:00.0000000 | 00:00:10.9460948 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0007915;
 Debug   | 2017-02-20T14:56:21.3020224+07:00 | 0:00:00:00.0000000 | 00:00:10.9460948 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.3020224+07:00 | 0:00:00:00.0000000 | 00:00:10.9460948 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000260;
 Debug   | 2017-02-20T14:56:21.3025510+07:00 | 0:00:00:00.0005286 | 00:00:10.9466234 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.3025510+07:00 | 0:00:00:00.0000000 | 00:00:10.9466234 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0007971;
 Debug   | 2017-02-20T14:56:21.3025510+07:00 | 0:00:00:00.0000000 | 00:00:10.9466234 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:21.3025510+07:00 | 0:00:00:00.0000000 | 00:00:10.9466234 | [GetResourceAsync] - for Resource '105/101'; Try get Manifest-file Finished 00:00:00.0000265;
 Debug   | 2017-02-20T14:56:21.3035525+07:00 | 0:00:00:00.0010015 | 00:00:10.9476249 | [GetResourceAsync] - for Resource '105/101'; Resource found in Cache;
 Debug   | 2017-02-20T14:56:21.3035525+07:00 | 0:00:00:00.0000000 | 00:00:10.9476249 | [GetResourceAsync] - for Resource '105/101'; Getting took 0:00:00:00.0009357;
 Debug   | 2017-02-20T14:56:21.6612405+07:00 | 0:00:00:00.3576880 | 00:00:11.3053129 | [GetResourceAsync] - for Resource '102/115'; Try download Resource Finished 00:00:03.3628887;
 Debug   | 2017-02-20T14:56:21.7272124+07:00 | 0:00:00:00.0659719 | 00:00:11.3712848 | [GetResourceAsync] - for Resource '102/114'; Try download Resource Finished 00:00:03.4312892;
 Debug   | 2017-02-20T14:56:21.7406929+07:00 | 0:00:00:00.0134805 | 00:00:11.3847653 | [GetResourceAsync] - for Resource '103/101'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:22.2314917+07:00 | 0:00:00:00.4907988 | 00:00:11.8755641 | [GetResourceAsync] - for Resource '102/113'; Try download Resource Finished 00:00:03.9336992;
 Debug   | 2017-02-20T14:56:22.2960438+07:00 | 0:00:00:00.0645521 | 00:00:11.9401162 | [GetResourceAsync] - for Resource '110/1'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:22.2960438+07:00 | 0:00:00:00.0000000 | 00:00:11.9401162 | [GetResourceAsync] - for Resource '110/1'; Try get Manifest-file Finished 00:00:00.0006722;
 Debug   | 2017-02-20T14:56:22.5433375+07:00 | 0:00:00:00.2472937 | 00:00:12.1874099 | [GetResourceAsync] - for Resource '112/11201'; Try download Resource Finished 00:00:02.0144089;
 Debug   | 2017-02-20T14:56:22.5438378+07:00 | 0:00:00:00.0005003 | 00:00:12.1879102 | [GetResourceAsync] - for Resource '110/1'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:22.5463127+07:00 | 0:00:00:00.0024749 | 00:00:12.1903851 | [GetResourceAsync] - for Resource '102/115'; Getting took 0:00:00:04.4262044;
 Debug   | 2017-02-20T14:56:22.5758336+07:00 | 0:00:00:00.0295209 | 00:00:12.2199060 | [GetResourceAsync] - for Resource '102/114'; Getting took 0:00:00:04.4597499;
 Debug   | 2017-02-20T14:56:22.7440897+07:00 | 0:00:00:00.1682561 | 00:00:12.3881621 | [GetResourceAsync] - for Resource '112/11201'; Getting took 0:00:00:03.6300558;
 Debug   | 2017-02-20T14:56:22.7440897+07:00 | 0:00:00:00.0000000 | 00:00:12.3881621 | [GetMetadataAsync] - for Resource '112'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:22.7445897+07:00 | 0:00:00:00.0005000 | 00:00:12.3886621 | [GetMetadataAsync] - for Resource '112'; Try get Manifest-file Finished 00:00:00.0000517;
 Debug   | 2017-02-20T14:56:22.7445897+07:00 | 0:00:00:00.0000000 | 00:00:12.3886621 | [GetMetadataAsync] - for Resource '112'; Getting took 0:00:00:00.0000868;
 Debug   | 2017-02-20T14:56:22.9576450+07:00 | 0:00:00:00.2130553 | 00:00:12.6017174 | [GetResourceAsync] - for Resource '110/1'; Try download Resource Finished 00:00:00.4128774;
 Debug   | 2017-02-20T14:56:23.0482437+07:00 | 0:00:00:00.0905987 | 00:00:12.6923161 | [GetResourceAsync] - for Resource '110/1'; Getting took 0:00:00:00.7521986;
 Debug   | 2017-02-20T14:56:23.0652690+07:00 | 0:00:00:00.0170253 | 00:00:12.7093414 | [GetMetadataAsync] - for Resource '110'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:23.0652690+07:00 | 0:00:00:00.0000000 | 00:00:12.7093414 | [GetMetadataAsync] - for Resource '110'; Try get Manifest-file Finished 00:00:00.0000859;
 Debug   | 2017-02-20T14:56:23.0652690+07:00 | 0:00:00:00.0000000 | 00:00:12.7093414 | [GetMetadataAsync] - for Resource '110'; Getting took 0:00:00:00.0001227;
 Debug   | 2017-02-20T14:56:23.1954077+07:00 | 0:00:00:00.1301387 | 00:00:12.8394801 | [GetResourceAsync] - for Resource '110/2'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:56:23.1959084+07:00 | 0:00:00:00.0005007 | 00:00:12.8399808 | [GetResourceAsync] - for Resource '110/2'; Try get Manifest-file Finished 00:00:00.0010409;
 Debug   | 2017-02-20T14:56:23.2059155+07:00 | 0:00:00:00.0100071 | 00:00:12.8499879 | [GetResourceAsync] - for Resource '110/2'; Try download Resource Started;
 Debug   | 2017-02-20T14:56:23.2104538+07:00 | 0:00:00:00.0045383 | 00:00:12.8545262 | [GetResourceAsync] - for Resource '102/113'; Getting took 0:00:00:05.0962432;
 Debug   | 2017-02-20T14:57:02.9331906+07:00 | 0:00:00:39.7227368 | 00:00:52.5772630 | [GetResourceAsync] - for Resource '102/110'; Try get Manifest-file Started;
 Debug   | 2017-02-20T14:57:02.9331906+07:00 | 0:00:00:00.0000000 | 00:00:52.5772630 | [GetResourceAsync] - for Resource '102/110'; Try get Manifest-file Finished 00:00:00.0008702;
